,Org,Technologies,Slots,Ideas Page,Contact
174,The Center for Connected Learning and Computer-Based Modeling," javascript, scala",1,https://github.com/NetLogo/NetLogo/wiki/Google-Summer-of-Code-Ideas-List,https://gitter.im/NetLogo/GSoC
175,The Eclipse Foundation,"java, jakarta,  javascript, openj9",10,https://wiki.eclipse.org/Google_Summer_of_Code_2019_Ideas,https://wiki.eclipse.org/IRC
176,The GNU Project,operating systems,5,https://www.gnu.org/software/soc-projects/ideas.html,https://lists.gnu.org/mailman/listinfo/summer-of-code
177,The Honeynet Project,"python, go,  c/c++, linux, data analysis",9,https://gsoc.honeynet.org,https://gsoc-slack.honeynet.org/
178,The Java Pathfinder Team,"java, jvm, bytecode, android, distributed systems",6,https://github.com/javapathfinder/jpf-core/wiki/GSoC-2019-Project-Ideas,https://groups.google.com/forum/#!forum/java-pathfinder
179,The Julia Language,julia,13,https://julialang.org/soc/ideas-page,https://julialang.org/community/
180,The Libreswan Project,"c, nss, virtualization, python, web",1,https://libreswan.org/wiki/GSoC,https://libreswan.org/wiki/IRC
181,The Linux Foundation,"c, c++, cups, ipp",7,https://wiki.linuxfoundation.org/gsoc/google-summer-code-2019,https://wiki.linuxfoundation.org/gsoc/google-summer-code-2019#if_you_have_questions
182,The Mifos Initiative,"android, spring, java, angular, mysql",14,https://mifosforge.jira.com/wiki/spaces/RES/pages/812810251/Google+Summer+of+Code+2019+Ideas,https://gitter.im/openMF/mifos
183,The NetBSD Foundation,"c, bsd, make",7,https://wiki.netbsd.org/projects/gsoc/,https://wiki.netbsd.org/community/
184,The ns-3 Network Simulator Project," c/c++,  python",4,https://www.nsnam.org/wiki/GSOC2019Projects,https://ns-3.zulipchat.com
185,The Perl Foundation,"c, perl, regular expressions, perl6, perl5",4,https://perl-gsoc-2019.github.io/ideas/,https://www.irc.perl.org/
186,The Postgres Operator,"postgresql, kubernetes, golang, operator, patroni",1,https://github.com/zalando-incubator/postgres-operator/blob/master/docs/gsoc-2019/ideas.md,https://postgresteam.slack.com/messages/CFYAXFT7D/
187,The Processing Foundation,"java,  javascript,  python,  android,  opengl",16,https://github.com/processing/processing/wiki/Project-List,https://discourse.processing.org/c/summer-of-code
188,The Terasology Foundation,"java, lwjgl, opengl, blender, gradle",9,https://trello.com/b/5QQGHuTt/gsoc-ideas,https://github.com/MovingBlocks/Terasology/wiki/Using-IRC
189,The Vega Project at the University of Washington,"typescript, d3, vega, vega-lite, react",2,https://docs.google.com/document/d/16uxN2ss7HHCUFqwv9znkvirMYjng3r-kFJ7nOW8azTY,https://bit.ly/join-vega-slack
190,The Wine Project,"c,  opengl,  directx,  x11,  win32",0,https://wiki.winehq.org/SummerOfCode,https://www.winehq.org/irc
191,TimVideos.us,"python, verilog, vhdl, c, fpga",0,https://code.timvideos.us/summer-of-code/,http://webchat.freenode.net/?channels=%23timvideos
192,Tokio,"tokio_rs, rust",1,https://tokio.rs/gsoc/,https://gitter.im/tokio-rs/gsoc
193,Tungsten Fabric,"linux, kubernetes,  python, networking,  c/c++",1,https://wiki.tungsten.io/display/TUN/GSoC+2019,https://tungsten.io/community/
194,UCSC Xena,"javascript,  python,  clojure,  react",1,https://github.com/ucscXena/ucsc-xena-client/wiki/Google-Summer-of-Code-Ideas-2019,https://groups.google.com/forum/#!forum/xena-google-summer-of-code
195,VideoLAN,"c, opengl, qt, assembly, c++",9,https://wiki.videolan.org/SoC_2019,https://www.videolan.org/support/
196,webpack,"javascript, web development, webasssembly, node.js, html5/css3",2,https://docs.google.com/document/d/19ZCaBt5UQJ45reIpCKQo_oeICpk9sPW5YjqO7ciAQh4/edit?usp=sharing,http://webpack.js.org
197,Wikimedia Foundation,"php, javascript, html, css, python",11,https://www.mediawiki.org/wiki/Google_Summer_of_Code/2019,https://wikimedia.zulipchat.com/#narrow/stream/180873-gsoc19-outreachy18
198,X.Org Foundation,"opengl, vulkan, x11, wayland, opencl",2,https://www.x.org/wiki/SummerOfCodeIdeas/,https://www.x.org/wiki/SummerOfCodeIdeas/
199,Xapian Search Engine Library,"c++, unicode, swig, linux",3,https://trac.xapian.org/wiki/GSoCProjectIdeas,https://trac.xapian.org/wiki/GSoC_IRC
200,Xi Editor,"rust, swift",1,https://xi-editor.io/gsoc.html,https://xi.zulipchat.com/
201,XMPP Standards Foundation (XSF),"asynchronous i/o, lua, xmpp, java, python 3",3,https://wiki.xmpp.org/web/GSoC/2019/Project_Ideas,https://wiki.xmpp.org/web/GSoC/2019#Join_the_group_chat.21
202,xpra,"python, javascript, c",0,https://xpra.org/trac/wiki/ProjectIdeas,http://irc.freenode.net/winswitch
203,XWiki,"java,  javascript,  html5,  css3,  velocity",3,http://gsoc.xwiki.org/,http://dev.xwiki.org/xwiki/bin/view/Community/Chat
204,Zulip Open Source Project,"python, react native, django, javascript, electron",17,https://zulip.readthedocs.io/en/latest/overview/gsoc-ideas.html,https://chat.zulip.org/
205,ZynAddSubFX," c/c++, ruby, midi, open-sound-control, opengl",1,https://github.com/zynaddsubfx/zyn-fusion-issues/wiki/GSOC-Ideas-2019,http://zynaddsubfx.sourceforge.net/support.html
